speed_knots,feature,target,correlation
18,Pexh,kMt,0.379726831
18,TIC,kMc,-0.5682221129
18,TIC,kMt,-0.816382054
18,mf,kMc,-0.5691504336
18,mf,kMt,-0.8154448155
21,GTT,kMc,0.9354697297
21,GTT,kMt,-0.3499458689
21,GTn,kMc,-0.6969546613
21,GTn,kMt,0.4505848626
21,GGn,kMc,-0.8797121402
21,GGn,kMt,0.4851953707
21,Ts,kMc,0.8639094718
21,Ts,kMt,-0.3354537067
21,T48,kMc,-0.7793949435
21,T48,kMt,-0.6176722047
21,T2,kMc,-0.9610840583
21,T2,kMt,-0.2652230261
21,P48,kMc,0.9093900364
21,P48,kMt,-0.425266479
21,P2,kMc,0.3606802344
21,P2,kMt,-0.9366305426
21,Pexh,kMc,0.8300763681
21,Pexh,kMt,0.1957476812
21,TIC,kMc,-0.6411680949
21,TIC,kMt,-0.7601475239
21,mf,kMc,-0.6405779599
21,mf,kMt,-0.7604275342
24,GTT,kMc,-0.6712547054
24,GTT,kMt,0.2527122131
24,GTn,kMc,-0.7095861579
24,GTn,kMt,0.3740789774
24,GGn,kMc,-0.9353923491
24,GGn,kMt,0.3631870007
24,Ts,kMc,-0.2066321785
24,Ts,kMt,0.09944019343
24,T48,kMc,-0.7755016733
24,T48,kMt,-0.6225411852
24,T2,kMc,-0.9651761637
24,T2,kMt,-0.2503665036
24,P48,kMc,0.8776404278
24,P48,kMt,-0.487837019
24,P2,kMc,0.3280867294
24,P2,kMt,-0.9481876685
24,Pexh,kMc,0.8371647534
24,Pexh,kMt,0.2023435657
24,TIC,kMc,-0.610739887
24,TIC,kMt,-0.7849145535
24,mf,kMc,-0.6106872086
24,mf,kMt,-0.7848063982
27,GTT,kMc,-0.3771279703
27,GTT,kMt,0.9238101231
27,GTn,kMc,-0.5360962702
27,GTn,kMt,0.4968435222
27,GGn,kMc,-0.9332801871
27,GGn,kMt,0.3686731684
27,Ts,kMc,-0.1711147945
27,Ts,kMt,0.2864266901
27,T48,kMc,-0.9256883556
27,T48,kMt,-0.3675825064
27,T2,kMc,-0.9775195654
27,T2,kMt,-0.1989653205
27,P48,kMc,0.8985047003
27,P48,kMt,-0.4486865344
27,P2,kMc,0.4321079102
27,P2,kMt,-0.9065655777
27,Pexh,kMc,0.951483394
27,Pexh,kMt,0.07557419828
27,TIC,kMc,-0.8167774938
27,TIC,kMt,-0.5677331021
27,mf,kMc,-0.8165985745
27,mf,kMt,-0.5678890818
